titulo,autor,anio_publicacion
Pythons' Autobiography by the Pythons,"Monty Python, Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, et al, Bob McCabe",2003
El gran libro de Python,"Marco Buttu, EDIZIONI LSWR ",2016
Aprende a programar con PYTHON,José Dimas Luján Castillo,2019
PYTHON. Curso práctico de formación,Juan Carlos Orós Cabello,2022
PYTHON 3 al descubierto 2º Edición,Arturo Fernández Montoro,2013
"BIG DATA con PYTHON. Recolección, almacenamiento y proceso","Rafael Caballero Roldán, Enrique Martín Martín, Adrián Riesco Rodríguez",2018
"C# Java PHP Python, la Guida Completa Alla Programmazione Ad Oggetti",Tony Chan,2022
Erebus,Michael Palin,2018
North Korea Journal,"Michael Palin, Joan Eloi Roca",2019
